i 8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
you 24,24,24,20,20,20,20,20,20,8,8,8,8,8,8,14,14,14,14,14,14,14,8,8,8,8,8,8,20,20
to 19,19,19,19,24,24,24,24,24,24,24,20,20,20,20,20,20,20,20,8,8,8,8,8,8,8,14,14,14,14
the 19,19,19,6,6,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,5,5,17,17,17,17,17,4,4
and 0,0,18,18,18,3,3,2,2,2,21,21,21,21,1,1,1,13,13,1,1,1,1,21,21,5,5,5,3,3
a 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
me 12,12,12,12,13,13,13,13,13,13,7,7,7,7,7,6,6,6,6,6,5,6,5,5,5,17,17,3,4,4
it 8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,20,24,24,24,24,24,24,24,24,24,24,19,19,19,19
my 12,12,12,12,12,12,12,12,12,12,9,9,9,9,9,9,9,9,9,9,7,9,9,7,7,7,24,24,24,24
that 19,19,6,7,7,7,7,6,6,6,5,5,5,3,3,18,18,18,0,0,18,18,3,3,3,17,17,19,19,19
in 8,8,8,8,8,8,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,13,13,13,13,13
is 8,8,8,8,20,20,20,20,7,24,24,24,7,7,6,6,6,6,6,5,5,5,5,3,3,3,3,3,18,18
so 18,18,3,3,3,3,3,5,5,5,5,5,6,6,6,7,7,7,7,20,20,20,20,9,8,8,8,8,14,14
for 5,5,6,6,6,7,7,9,9,9,9,8,8,14,14,14,8,8,8,20,20,20,24,24,24,24,19,19,19,17
have 7,7,6,6,5,5,3,3,3,18,18,0,0,18,18,23,23,2,2,2,21,21,21,5,5,5,3,3,4,4
just 9,9,9,9,20,20,20,20,24,24,6,6,6,6,5,5,3,3,3,3,18,18,3,3,3,5,17,17,19,19
but 1,1,1,1,13,13,7,7,7,7,7,7,7,9,9,20,20,20,20,20,20,24,24,24,24,24,24,19,19,19
of 14,14,14,14,8,8,8,8,8,8,9,20,9,9,9,9,9,7,7,7,7,6,6,6,6,6,6,6,5,5
like 11,11,11,11,11,8,8,8,10,10,10,10,9,9,9,9,7,7,7,7,6,6,19,19,17,17,17,4,4,4
what 22,4,4,4,5,5,5,6,6,6,7,7,6,6,5,5,3,3,18,18,18,0,18,18,18,3,3,17,17,19
no 13,13,13,13,13,13,12,12,12,12,12,12,10,10,10,10,10,10,10,10,10,10,11,11,11,14,14,14,14,14
word 22,4,4,4,17,17,19,19,24,24,20,20,8,8,8,14,14,8,8,20,20,24,24,19,19,19,17,17,5,3
on 14,14,14,14,14,14,11,11,11,10,10,10,10,10,10,10,10,10,10,12,12,12,12,12,12,13,13,13,13,13
not 13,13,13,12,12,12,10,10,10,10,11,14,14,14,14,14,8,8,8,8,20,20,20,20,24,24,24,24,19,19
was 22,22,22,22,22,22,22,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,18
do 3,3,3,5,5,5,5,5,6,6,6,6,7,7,7,7,7,9,9,20,20,20,9,8,8,8,8,14,14,14
be 1,1,1,1,1,1,1,1,21,21,6,6,6,21,5,5,5,5,5,5,5,5,5,5,5,3,3,4,4,4
with 22,22,4,4,17,17,17,19,19,19,24,24,20,20,20,8,8,8,20,20,20,24,24,19,19,19,6,7,7,7
at 0,0,0,0,18,18,18,18,18,18,18,18,3,3,3,3,3,3,5,17,17,17,17,17,17,5,19,19,19,19
we 22,22,22,22,22,22,22,22,22,22,22,22,22,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
your 24,24,20,20,20,20,8,8,8,8,14,14,14,14,8,8,8,20,20,20,20,24,24,24,19,19,19,19,17,17
are 0,0,0,0,18,18,18,18,18,18,3,3,3,3,4,4,4,4,3,17,17,17,17,17,17,17,17,4,4,4
know 10,10,12,13,13,13,12,12,10,10,11,14,14,14,8,8,20,20,20,24,24,19,19,19,17,17,4,4,4,22
get 6,6,6,6,6,5,5,5,5,5,5,5,17,17,3,4,4,4,4,4,17,17,17,17,17,17,19,19,19,19
up 20,20,20,20,20,8,8,8,8,8,8,8,8,8,8,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15
if 8,8,8,8,8,9,20,20,20,20,20,20,9,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5
he 7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,17,17,17,17,17,17,17,17,4,4,4
good 6,6,7,7,7,9,9,9,8,8,10,14,14,8,8,8,9,20,9,7,7,7,7,6,6,5,5,5,3,3
word 22,4,4,4,17,17,19,19,24,24,20,20,8,8,8,14,14,8,8,20,20,24,24,19,19,19,17,17,5,3
this 19,19,6,7,7,7,7,7,9,9,9,8,8,8,20,20,20,24,24,7,6,6,6,5,5,3,3,3,3,18
can 2,2,2,23,23,23,23,18,18,25,0,0,18,18,18,23,3,3,2,2,2,21,21,21,21,1,1,1,13,13
she 18,18,3,3,3,3,5,5,5,5,6,6,6,6,7,7,7,7,6,6,6,6,6,5,5,17,17,17,4,4
go 6,6,6,6,7,7,7,7,7,7,7,7,9,9,9,9,9,9,10,8,8,8,8,8,8,10,14,14,14,14
love 11,11,11,14,14,14,10,10,10,9,9,9,13,7,1,1,1,21,21,21,21,5,5,5,5,5,3,4,4,4
its 8,8,8,20,20,20,20,20,20,24,24,24,24,24,19,19,19,19,5,17,17,5,5,5,3,3,3,3,18,18
